"","date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","MD","MA","MI","MN","MS","MO","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"240",2017-06-25,41,0,17,0,25,31,27,15,16,43,36,67,12,27,30,11,23,22,26,16,22,27,19,14,19,28,30,39,0,31,11,17,28,26,25,28,0,27,19,0,23,15,17,21,16,100,31,26,17,25,31
"241",2017-07-02,10,28,12,23,35,13,37,0,25,34,24,44,24,23,32,24,16,22,23,31,0,57,14,0,25,15,45,25,0,20,35,40,26,13,35,25,15,14,26,16,30,0,23,34,27,0,21,24,0,16,0
"242",2017-07-09,32,0,11,11,32,28,31,14,11,30,25,22,12,21,13,45,28,8,13,0,21,27,28,14,22,28,42,34,0,17,11,22,22,35,16,23,29,30,13,60,23,14,31,33,16,25,25,25,33,18,28
"243",2017-07-16,55,41,43,0,35,25,22,14,11,44,26,21,12,25,26,22,24,12,40,15,21,20,19,0,28,14,29,30,24,17,28,21,14,11,23,23,14,37,19,15,17,0,22,25,21,25,26,20,16,18,0
"244",2017-07-23,36,0,31,16,38,26,18,41,7,39,37,65,12,21,10,11,0,29,18,15,0,13,19,28,23,21,27,25,25,27,27,16,13,31,35,7,14,23,15,29,11,0,32,32,32,0,35,32,0,18,27
"245",2017-07-30,31,0,22,16,34,27,21,0,7,40,12,21,17,22,41,33,21,24,8,21,30,13,18,0,35,13,42,36,23,39,11,32,34,22,27,15,14,25,24,14,8,0,32,21,20,24,19,23,32,35,27
"246",2017-08-06,17,26,21,36,33,24,13,13,7,43,33,31,33,22,18,16,42,20,33,0,20,38,18,13,33,20,35,30,0,29,26,23,52,20,37,22,27,22,25,14,16,13,24,29,10,24,30,42,16,38,0
"247",2017-08-13,43,0,48,10,31,17,22,14,20,33,44,42,11,23,30,43,37,19,8,14,20,0,19,27,16,27,31,18,24,28,21,8,32,31,39,18,53,25,12,28,14,13,37,22,36,0,23,40,15,21,0
"248",2017-08-20,45,38,53,24,37,28,22,13,30,41,41,59,11,31,60,10,18,37,36,15,20,35,9,14,22,58,31,42,0,22,20,23,32,25,41,9,32,15,28,28,16,0,48,27,20,24,18,36,37,42,25
"249",2017-08-27,69,26,50,29,43,16,17,13,26,55,60,0,16,32,46,39,35,41,47,22,0,0,35,27,35,20,34,28,33,41,30,31,34,35,40,18,63,30,20,14,13,13,35,21,29,35,22,15,29,18,0
"250",2017-09-03,36,26,36,25,41,26,24,0,29,30,42,39,16,42,49,30,18,30,37,0,19,24,22,45,26,53,41,24,45,44,46,31,31,37,49,20,26,32,35,52,18,0,43,45,53,0,21,28,22,35,0
"251",2017-09-10,43,25,32,24,38,46,28,39,42,39,29,39,25,43,44,37,27,22,36,21,38,23,17,19,32,13,66,39,21,40,44,19,32,32,45,21,25,26,45,25,18,18,32,41,37,65,38,19,43,39,25
"252",2017-09-17,36,51,27,24,43,26,47,39,38,44,44,39,15,35,43,28,44,44,28,48,39,29,26,25,15,38,47,43,21,48,29,37,32,46,56,37,25,27,45,24,34,12,35,44,51,22,40,45,36,43,74
"253",2017-09-24,29,26,36,10,50,33,24,26,27,32,33,20,21,30,42,29,23,15,32,0,50,36,55,19,41,19,62,49,32,22,25,49,43,61,44,31,52,45,32,62,21,12,38,41,33,0,48,43,73,30,26
"254",2017-10-01,36,26,46,23,54,19,16,26,34,44,37,30,21,28,30,23,23,34,12,43,39,29,31,45,43,13,55,31,21,27,34,31,46,44,49,22,19,47,25,25,16,12,33,27,37,0,39,50,15,36,0
"255",2017-10-08,48,25,29,29,42,48,35,50,48,41,44,41,10,34,23,28,9,45,24,14,49,12,22,25,35,32,50,34,21,29,39,44,58,36,29,34,26,30,31,13,26,25,21,38,37,31,31,63,35,38,26
"256",2017-10-15,25,52,26,19,57,68,47,0,34,37,45,30,20,37,29,24,23,56,40,14,41,24,36,38,36,32,52,35,22,47,40,48,45,36,28,36,26,42,39,19,16,0,38,38,43,0,32,38,36,38,26
"257",2017-10-22,49,0,41,19,42,22,47,32,27,33,59,20,26,42,54,43,34,29,59,0,0,24,27,19,30,45,51,45,0,31,48,59,28,46,42,27,25,39,38,13,31,25,35,46,39,21,37,54,14,41,0
"258",2017-10-29,33,26,36,33,43,29,51,26,26,54,51,20,31,51,47,28,36,25,32,23,39,29,40,52,42,0,63,47,21,28,34,33,43,36,50,15,19,66,39,20,26,12,40,57,28,22,38,70,14,37,26
"259",2017-11-05,51,52,53,23,57,66,58,25,29,57,50,20,10,43,52,27,38,50,35,14,29,62,50,38,47,55,71,37,41,30,66,29,55,41,51,45,31,38,43,39,33,12,35,42,32,31,32,47,21,44,26
"260",2017-11-12,53,29,40,40,55,41,64,51,20,61,60,69,40,56,62,46,30,24,27,31,43,64,36,21,45,54,68,59,57,40,53,33,56,61,57,35,28,56,43,45,32,13,71,52,52,23,42,80,23,60,45
