"","date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","MD","MA","MI","MN","MS","MO","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"48",2013-10-20,30,0,29,68,46,44,38,24,37,40,41,0,99,52,29,73,46,52,18,38,30,37,36,41,20,58,43,28,91,25,55,35,26,25,47,34,31,65,41,20,24,19,36,42,52,0,39,52,32,30,0
"49",2013-10-27,59,29,44,42,38,33,16,0,31,53,55,38,41,48,28,29,29,43,43,19,0,75,31,33,27,20,33,53,61,25,51,23,22,45,31,32,11,43,28,20,29,19,42,37,11,25,50,68,27,43,0
"50",2013-11-03,44,0,58,49,62,49,26,46,43,36,48,49,40,31,46,14,57,18,36,19,29,28,36,0,34,48,48,39,0,53,40,14,46,43,50,25,23,36,43,19,14,56,41,40,46,0,40,26,36,23,0
"51",2013-11-10,29,29,39,65,65,46,37,23,32,47,46,37,48,35,55,50,42,45,54,19,57,93,24,16,29,19,56,46,45,38,40,20,40,58,56,31,17,25,44,19,47,19,50,53,35,25,37,36,18,17,0
"52",2013-11-17,28,28,40,40,45,23,42,34,42,46,52,21,23,47,36,21,42,35,18,19,28,0,41,40,57,37,37,51,0,30,39,20,39,34,38,33,62,46,35,0,23,0,43,50,36,0,44,47,35,36,40
"53",2013-11-24,49,30,15,36,52,43,22,42,26,43,46,23,35,46,30,16,44,27,33,30,31,60,18,50,41,73,48,28,0,34,47,24,19,37,59,34,52,22,42,21,15,41,43,55,43,56,40,29,44,39,0
"54",2013-12-01,55,0,45,23,50,39,30,57,14,48,62,48,44,33,39,36,13,51,34,27,52,26,65,31,39,27,46,54,27,49,28,19,51,39,42,34,43,54,30,27,45,0,56,55,52,24,37,52,31,33,39
"55",2013-12-08,46,28,41,32,57,27,60,16,27,47,34,24,23,62,62,52,44,51,50,18,28,37,31,16,35,19,52,68,0,42,47,30,31,32,56,37,43,44,34,19,55,27,34,61,41,0,44,67,21,33,0
"56",2013-12-15,65,58,58,95,73,48,32,36,40,37,60,90,24,46,66,54,65,25,49,19,29,0,47,33,62,30,60,43,29,47,35,33,52,58,45,30,52,32,40,30,39,19,39,73,29,26,52,50,23,46,0
"57",2013-12-22,95,67,41,41,75,40,67,0,44,63,64,28,28,64,62,38,60,45,80,24,33,23,42,54,36,69,68,40,55,47,86,26,52,50,64,48,17,48,61,24,60,23,84,77,35,57,64,86,26,47,100
"58",2013-12-29,61,0,61,73,87,55,70,37,17,51,91,52,50,63,61,86,79,73,79,41,29,40,90,31,73,52,81,78,31,51,81,38,56,75,95,87,38,85,51,41,52,39,100,84,38,49,51,64,45,61,0
"59",2014-01-05,56,29,59,24,89,65,55,50,19,53,82,64,15,59,57,71,82,69,59,28,81,28,44,46,68,19,56,83,58,51,35,26,39,58,77,52,71,47,65,29,26,36,84,86,61,0,68,75,42,89,59
"60",2014-01-12,59,41,63,32,71,53,46,37,16,62,44,50,30,47,53,27,29,53,40,28,54,72,36,38,49,37,55,63,42,44,46,23,72,40,50,39,50,25,39,47,60,0,66,82,39,35,49,88,34,69,0
"61",2014-01-19,67,27,60,87,74,70,35,19,33,81,46,34,30,57,42,64,65,61,50,18,41,18,51,22,50,0,63,45,28,66,59,31,61,57,52,23,61,50,73,54,42,0,54,47,40,47,69,62,48,34,40
